job_id,skill_id
1,7
1,10
1,13
1,14
2,3
2,9
2,10
2,13
2,14
2,16
3,1
3,2
3,4
3,7
3,10
3,12
3,13
3,15
4,1
4,3
4,4
4,10
4,11
4,13
4,14
5,1
5,2
5,3
5,4
5,10
5,13
6,1
6,4
6,7
6,8
6,9
6,10
6,12
7,1
7,2
7,10
7,13
7,14
7,15
8,1
8,3
8,13
8,15
10,1
10,3
10,10
10,11
10,12
10,13
11,1
11,2
11,4
11,7
11,10
11,11
11,12
11,13
12,1
12,2
12,3
12,8
12,10
12,13
12,14
13,4
13,10
13,13
14,1
14,3
14,4
14,5
14,15
15,1
15,2
15,4
15,7
15,10
15,13
15,15
16,1
16,2
16,3
16,4
16,5
16,7
16,8
16,9
16,10
16,11
16,13
16,15
17,1
17,2
17,3
17,9
17,10
17,13
17,15
18,4
20,10
20,13
20,14
21,1
21,8
21,9
21,10
21,13
21,16
22,4
22,13
23,14
24,2
24,3
24,13
24,14
24,15
25,1
25,2
25,3
25,4
25,10
25,11
26,1
26,2
26,4
26,5
26,6
26,7
26,8
26,9
26,13
26,16
27,1
27,2
27,3
27,8
27,9
27,10
27,13
27,15
27,16
28,1
28,2
28,5
28,10
28,12
28,13
28,14
28,15
29,4
29,8
29,10
29,13
29,16
30,1
30,2
30,4
30,7
30,10
30,12
30,13
30,15
31,1
31,2
31,10
31,13
31,14
31,15
32,1
32,2
32,3
32,4
32,10
32,12
32,14
33,2
33,13
34,4
34,7
34,16
35,3
35,4
35,8
35,9
35,10
36,1
36,2
36,3
36,4
36,5
36,6
37,1
37,2
37,3
37,4
37,7
37,10
37,13
37,14
37,15
38,1
38,2
38,4
38,7
38,8
38,9
38,10
38,13
38,14
39,1
39,2
39,3
39,4
39,5
39,13
40,1
40,2
40,3
40,4
40,13
40,14
41,1
41,2
41,4
41,7
41,8
41,10
41,16
42,3
42,13
42,14
42,15
44,1
44,10
44,11
44,13
45,1
45,4
45,10
45,11
46,10
46,13
46,14
47,1
47,2
47,4
47,10
47,12
47,15
48,1
48,2
48,4
48,5
48,10
48,13
49,1
49,3
49,4
49,5
49,6
49,10
49,12
49,13
49,15
50,1
50,2
50,3
50,4
50,5
50,10
50,13
51,1
51,2
51,3
51,8
51,10
51,11
51,14
52,1
52,2
52,4
52,8
52,10
52,12
52,13
52,16
53,3
53,4
53,15
54,4
54,5
54,13
54,14
54,15
55,1
55,2
55,4
55,10
55,13
55,14
55,16
56,1
56,2
56,10
56,13
57,1
57,2
57,3
57,8
57,10
57,12
57,13
57,14
57,15
58,1
58,4
58,10
58,13
58,15
59,1
59,2
59,3
59,4
59,13
60,1
60,4
60,10
60,11
60,14
61,1
61,3
61,13
61,15
62,1
62,4
62,7
62,8
62,9
62,10
62,12
63,3
63,4
63,5
63,6
63,15
64,1
64,2
64,3
64,13
64,14
64,15
65,1
65,2
65,3
65,5
65,10
65,13
65,15
66,1
66,2
66,3
66,4
66,5
66,13
66,15
66,16
67,1
67,3
67,7
67,10
67,11
67,13
68,1
68,2
68,4
68,8
68,10
68,11
69,1
69,4
69,7
69,8
69,9
69,10
69,13
69,15
70,1
70,3
70,7
70,10
70,13
70,15
71,1
71,2
71,4
71,7
71,8
71,9
71,10
71,13
71,16
72,3
72,4
72,5
72,15
74,1
74,2
74,3
74,4
74,5
74,13
74,15
75,1
75,3
75,4
75,7
75,10
75,13
75,16
76,1
76,2
76,8
76,10
76,13
77,1
77,2
77,3
77,10
77,13
78,1
78,2
78,10
78,13
78,15
79,1
79,2
79,3
79,9
79,10
79,13
81,3
81,7
81,8
81,9
81,15
81,16
82,1
82,7
82,8
82,9
82,10
82,11
82,13
83,1
83,3
83,7
83,8
83,10
83,11
83,13
83,15
84,1
84,2
84,3
84,10
84,13
85,14
86,1
86,3
86,7
86,10
86,11
86,13
86,15
86,16
87,1
87,10
87,13
88,1
88,7
88,8
88,10
88,13
88,15
89,1
89,2
89,3
89,4
89,10
89,11
89,12
89,13
90,1
90,2
90,3
90,7
90,8
90,9
90,10
90,13
91,1
91,2
91,3
91,5
91,8
91,9
91,10
91,13
91,15
91,16
92,1
92,2
92,4
92,7
92,10
92,13
92,15
94,1
94,2
94,3
94,8
94,10
94,13
94,14
95,1
95,8
95,10
95,13
95,15
96,10
97,2
97,4
97,5
97,15
98,1
98,4
98,7
98,8
98,9
98,10
98,11
98,13
99,1
99,2
99,10
99,11
99,13
100,1
100,2
100,3
100,8
100,9
100,10
100,13
100,16
102,1
102,2
102,3
102,4
102,5
102,6
102,10
102,15
103,3
103,9
103,14
103,16
104,1
104,7
104,10
105,1
105,2
105,4
105,7
105,9
105,10
105,13
105,16
106,1
107,4
107,8
108,3
108,4
108,5
108,13
108,15
109,1
109,2
109,3
109,10
109,13
109,16
110,1
111,1
111,3
111,5
111,7
111,8
111,9
111,10
111,13
111,15
112,1
112,2
112,3
112,4
112,10
112,13
112,14
112,15
113,1
113,2
113,4
113,8
113,9
113,10
113,13
113,14
113,16
114,1
114,3
114,4
114,13
114,14
114,15
115,4
115,14
116,1
116,2
116,3
117,1
117,2
117,3
117,4
117,5
117,13
117,15
118,1
118,8
118,10
119,1
119,2
119,4
119,7
119,10
119,11
119,12
119,13
120,1
120,4
120,7
120,8
120,9
120,10
120,13
120,15
121,1
121,2
121,3
121,4
121,5
121,10
121,13
121,14
121,15
122,1
122,4
122,7
122,8
122,10
122,12
122,13
123,1
123,2
123,3
123,8
123,10
123,13
123,14
124,1
124,3
124,10
124,11
124,12
124,13
125,1
125,4
125,7
125,8
125,9
125,10
125,13
125,15
126,1
126,4
126,7
126,8
126,10
126,12
126,13
127,3
127,10
127,13
127,14
128,1
128,3
128,7
128,8
128,9
128,16
129,1
129,3
129,4
129,6
129,10
129,13
129,15
130,1
130,2
130,3
130,5
130,8
130,10
130,13
130,15
131,1
131,3
131,7
131,8
131,9
131,16
132,1
132,2
132,10
132,13
133,1
133,5
133,8
133,9
133,10
133,13
133,15
133,16
134,4
134,8
134,9
134,16
135,3
135,4
136,3
136,4
136,5
136,8
136,13
136,15
137,1
137,2
137,3
137,5
137,7
137,8
137,9
137,10
137,13
137,16
138,1
138,2
138,10
139,1
139,4
139,10
139,11
140,4
140,14
141,2
141,3
141,4
141,13
142,14
143,2
143,3
143,10
143,13
143,16
144,3
144,4
144,5
144,13
145,1
145,2
145,3
145,4
145,9
145,10
145,11
145,13
145,14
145,16
146,2
147,1
147,3
147,4
147,7
147,8
147,9
147,10
148,4
149,13
150,1
150,4
150,10
150,13
151,1
151,2
151,4
151,7
151,10
151,11
151,12
151,13
152,1
152,2
152,3
152,4
152,5
152,7
152,8
152,9
152,10
152,11
152,13
152,15
153,1
153,2
153,10
153,11
153,13
154,10
154,13
154,14
154,15
154,16
155,1
155,3
155,7
155,8
155,10
155,11
155,12
155,13
155,16
156,1
156,2
156,3
156,4
156,5
156,7
156,10
156,13
156,14
158,1
158,2
158,3
158,4
158,13
158,14
158,15
160,1
160,2
160,3
160,4
160,6
160,10
160,13
160,14
160,15
161,1
161,2
161,3
161,8
161,9
161,15
161,16
162,1
162,2
162,3
162,5
162,8
162,9
162,10
162,13
162,15
162,16
163,1
163,3
163,7
163,8
163,9
163,13
163,16
164,2
164,3
164,4
164,5
164,14
165,4
165,10
165,13
165,14
165,15
166,1
166,3
166,7
166,10
166,13
167,1
167,2
167,4
167,10
167,11
167,13
168,1
168,9
168,10
168,13
168,14
169,1
169,3
169,4
170,1
170,3
170,7
170,10
170,11
170,13
171,1
171,2
171,3
171,4
171,7
172,4
172,10
172,13
173,1
173,2
173,3
173,9
173,10
173,13
173,15
174,1
174,10
175,4
175,13
175,14
176,4
176,13
176,14
177,1
177,2
177,3
177,8
177,9
177,12
177,13
177,15
178,1
178,2
178,11
178,13
178,15
179,1
179,2
179,3
179,5
179,13
179,15
180,1
180,2
180,3
180,8
180,9
180,10
180,12
180,13
180,14
180,15
181,1
181,2
181,4
181,13
181,14
181,15
182,1
182,2
182,4
182,10
182,11
182,13
182,14
183,1
183,2
183,10
183,13
183,14
183,15
184,1
184,2
184,4
184,7
184,8
184,9
184,10
184,15
184,16
185,1
185,3
185,10
185,13
186,1
186,7
186,15
186,16
187,1
187,2
187,4
187,10
187,13
188,1
188,3
188,10
189,1
189,2
189,10
189,13
190,1
190,3
190,4
190,7
190,8
190,10
190,13
190,15
190,16
191,14
192,13
193,3
193,4
193,5
193,15
194,2
194,3
194,13
194,14
194,15
195,1
195,4
195,13
195,14
195,15
196,1
196,10
197,1
197,3
197,4
197,9
197,16
199,1
199,4
199,7
199,13
199,16
200,4
200,10
201,3
201,14
202,4
202,14
203,1
203,2
203,8
203,10
203,15
203,16
204,1
204,3
204,4
204,10
204,11
204,13
204,14
205,1
205,2
205,3
205,4
205,10
205,13
205,16
206,1
206,8
206,10
206,15
206,16
207,1
207,10
207,13
208,1
208,4
209,1
209,2
209,3
209,7
209,8
209,9
209,10
209,12
209,14
210,1
211,3
211,5
211,14
212,3
212,4
212,8
212,9
212,16
213,1
213,3
213,7
213,10
213,13
214,3
215,1
215,8
215,9
215,10
215,13
215,16
216,1
216,2
216,4
216,5
216,6
216,7
216,8
216,9
216,13
216,16
217,1
217,2
217,3
217,4
217,7
218,1
218,2
218,3
218,13
219,1
219,2
219,3
219,10
219,13
220,1
220,2
220,3
220,4
220,8
220,9
220,10
220,12
220,13
220,16
221,1
221,2
221,10
221,13
221,16
222,1
222,10
223,1
223,2
223,4
223,5
223,10
223,13
223,15
224,4
224,13
224,16
225,4
225,13
225,14
226,1
226,2
226,11
226,13
226,15
228,1
228,2
228,3
228,8
228,9
228,12
228,13
228,15
229,3
229,4
229,13
229,14
230,1
230,2
230,3
230,5
230,9
230,13
230,15
231,1
231,2
231,3
231,5
231,13
231,15
232,1
233,1
233,2
233,3
233,4
233,10
233,11
234,2
234,13
235,1
235,4
235,7
236,10
236,13
236,16
237,1
237,2
237,3
237,13
237,14
237,15
238,1
238,2
238,3
238,5
238,10
238,11
238,12
238,13
238,16
239,1
239,2
239,3
239,10
239,11
239,13
239,14
239,15
239,16
240,1
240,2
240,3
240,8
240,10
240,11
240,12
240,13
240,14
240,15
241,1
241,2
241,13
241,14
242,1
242,10
243,1
243,2
243,3
243,8
243,9
243,10
243,12
243,13
243,14
243,15
244,3
244,13
244,14
245,1
245,2
245,3
245,4
245,10
245,13
246,1
246,2
246,4
246,10
246,13
247,1
247,2
247,4
247,13
248,1
248,3
248,7
248,10
248,11
248,12
248,13
248,15
249,2
249,3
249,4
249,13
249,14
250,1
250,2
250,10
250,13
250,14
250,15
251,1
251,3
251,4
251,10
251,12
251,14
251,15
252,1
252,3
252,5
252,8
252,13
252,16
253,1
253,3
253,10
253,13
254,1
254,2
254,4
254,7
254,8
254,9
254,10
254,15
254,16
255,1
255,2
255,3
255,8
255,9
255,10
255,13
255,15
255,16
256,3
256,4
256,8
256,9
256,10
257,10
257,13
258,1
258,2
258,3
258,4
258,7
258,12
258,13
258,15
259,1
259,2
259,3
259,4
259,5
259,13
259,15
260,1
260,7
260,8
260,9
260,10
260,16
261,1
261,2
261,3
261,5
261,9
261,13
261,16
262,1
262,3
262,4
262,7
263,1
263,7
263,15
263,16
264,1
264,2
264,3
264,4
264,5
264,6
264,7
264,10
264,13
264,15
265,1
265,2
265,3
265,5
265,7
265,10
265,13
265,14
265,15
266,1
266,2
266,3
266,8
266,11
266,16
267,1
267,3
267,10
268,1
268,2
268,4
268,10
268,13
268,14
268,15
268,16
269,5
269,13
269,15
270,1
270,2
270,3
270,5
270,8
270,9
270,10
270,11
270,13
270,15
271,10
271,13
271,14
272,2
272,8
272,10
272,12
272,13
272,14
273,1
273,3
273,4
273,5
273,7
273,14
273,15
274,1
274,2
274,3
274,4
274,5
274,6
274,13
274,14
274,15
275,11
275,13
276,1
276,2
276,3
276,4
276,5
276,13
277,1
277,2
277,3
277,4
277,10
277,12
277,14
278,11
278,13
279,1
279,2
279,10
279,13
280,1
280,3
280,4
280,8
280,9
280,16
281,1
281,3
281,4
281,7
281,8
281,10
281,13
281,15
281,16
282,1
282,2
282,3
282,13
282,14
283,1
283,2
283,3
283,4
283,5
283,6
283,7
283,15
284,1
284,2
284,10
284,13
285,1
285,2
285,10
285,11
285,13
285,14
285,15
286,1
286,3
286,4
286,5
286,7
286,8
286,10
286,11
286,13
286,15
287,1
287,2
287,3
287,13
287,14
288,1
288,2
288,3
288,13
288,14
289,1
289,2
289,3
289,8
289,11
289,12
290,3
290,4
290,5
290,6
290,10
290,14
290,15
291,1
291,3
291,8
291,10
291,14
293,1
293,2
293,3
293,9
293,13
293,14
293,16
294,1
294,2
294,3
294,7
294,10
294,11
294,12
294,13
294,16
295,1
295,2
295,4
295,8
295,9
295,10
295,12
295,13
295,14
296,10
296,13
296,14
297,1
297,2
297,5
297,10
297,12
297,13
297,14
297,15
298,1
298,2
298,3
298,5
298,10
298,12
298,13
298,15
299,1
299,2
299,4
299,10
299,13
299,14
300,1
300,2
300,4
300,10
300,11
300,13
301,4
302,1
302,2
302,8
302,9
302,10
302,11
302,12
302,13
302,14
302,16
303,14
304,13
305,1
305,2
305,4
305,5
305,10
305,13
305,14
306,1
306,3
306,7
306,8
306,10
306,13
307,1
307,2
307,8
307,9
307,10
307,13
307,16
308,1
308,2
308,3
308,10
308,15
309,1
309,2
309,4
309,5
309,10
309,13
309,14
309,15
310,3
310,4
310,5
310,15
311,2
311,3
311,4
